term_id,name,slug,description,display_type,parent,parent_slug,thumbnail
15,Uncategorized,uncategorized,,default,0,,
80,Gartenwerkzeuge,gartenwerkzeuge,,default,0,,
81,Rindenmulch,rindenmulch,,default,0,,
82,Ziersteine,ziersteine,,default,0,,
89,Automotive,automotive,,default,0,,
90,Autozubehör,autozubehor,,default,89,automotive,
91,Fahrradzubehör,fahrradzubehor,,default,89,automotive,
92,"Garten & Pflanzen",garten-pflanzen,,default,0,,
93,Blumen,blumen,,default,92,garten-pflanzen,
94,Zimmerpflanzen,zimmerpflanzen,,default,92,garten-pflanzen,
95,"Setzlinge & Kräuter",setzlinge-krauter,,default,92,garten-pflanzen,
96,"Samen & Blumenzwiebeln",samen-blumenzwiebeln,,default,92,garten-pflanzen,
97,"Blumenerde & Dünger",blumenerde-dunger,,default,92,garten-pflanzen,
98,Blumentöpfe,blumentopfe,,default,92,garten-pflanzen,
99,Gartenwerkzeuge,gartenwerkzeuge-garten-pflanzen,,default,92,garten-pflanzen,
100,Rindenmulch,rindenmulch-garten-pflanzen,,default,92,garten-pflanzen,
101,Ziersteine,ziersteine-garten-pflanzen,,default,92,garten-pflanzen,
102,Brennstoffe,brennstoffe,,default,92,garten-pflanzen,
103,"Baumarkt & Werkzeuge",baumarkt-werkzeuge,,default,0,,
104,Werkzeuge,werkzeuge,,default,103,baumarkt-werkzeuge,
105,"Schrauben & Befestigung",schrauben-befestigung,,default,103,baumarkt-werkzeuge,
106,Farben,farben,,default,103,baumarkt-werkzeuge,
107,Malerzubehör,malerzubehor,,default,103,baumarkt-werkzeuge,
108,Plastikartikel,plastikartikel,,default,103,baumarkt-werkzeuge,
109,Elektronik,elektronik,,default,0,,
110,Batterien,batterien,,default,109,elektronik,
111,Elektronikartikel,elektronikartikel,,default,109,elektronik,
112,Handy-Zubehör,handy-zubehor,,default,109,elektronik,
113,"Gesundheit & Drogerie",gesundheit-drogerie,,default,0,,
114,Drogerieartikel,drogerieartikel,,default,113,gesundheit-drogerie,
115,"Pflaster & Balsam",pflaster-balsam,,default,113,gesundheit-drogerie,
116,"Mode & Accessoires",mode-accessoires,,default,0,,
117,Gürtel,gurtel,,default,116,mode-accessoires,
118,Schuhe,schuhe,,default,116,mode-accessoires,
119,Taschen,taschen,,default,116,mode-accessoires,
120,Textilien,textilien,,default,116,mode-accessoires,
121,Wolle,wolle,,default,116,mode-accessoires,
122,"Wohnen & Haushalt",wohnen-haushalt,,default,0,,
123,Dekoration,dekoration,,default,122,wohnen-haushalt,
124,Bilderrahmen,bilderrahmen,,default,122,wohnen-haushalt,
125,Gardinenzubehör,gardinenzubehor,,default,122,wohnen-haushalt,
126,Haushaltswaren,haushaltswaren,,default,122,wohnen-haushalt,
127,Kerzen,kerzen,,default,122,wohnen-haushalt,
128,"Schreibwaren & Geschenke",schreibwaren-geschenke,,default,0,,
129,Schreibwaren,schreibwaren,,default,128,schreibwaren-geschenke,
130,Lernmaterial,lernmaterial,,default,128,schreibwaren-geschenke,
131,"Tüten & Karten",tuten-karten,,default,128,schreibwaren-geschenke,
132,Spielzeug,spielzeug,,default,0,,
133,"Lebensmittel & Getränke",lebensmittel-getranke,,default,0,,
134,Reisebedarf,reisebedarf,,default,0,,
135,"Saisonale Artikel",saisonale-artikel,,default,0,,
